u_num,u_den,v_num,v_den,inx,d,c,b,a
400,-37,8685847,22963880,93,1779979592349189232414713,1724845107301282006322000,1018986340666195845813760,574585584668340612894713
400,-37,8685847,22963880,4,12197457,11289040,8282543,5870000
400,-37,68736347,167135920,18,1787882337,1662997663,1237796960,686398000
400,-37,68736347,167135920,999,3605912577663084737321638248873,3105266288728440468128626868240,2872084585447999116299301826000,1684029522286481927432685928873
400,-37,4510540073,1172429320,999,3605912577663084737321638248873,3105266288728440468128626868240,2872084585447999116299301826000,1684029522286481927432685928873
400,-37,4510540073,1172429320,18,1787882337,1662997663,1237796960,686398000
-97,400,78065,484,56,87486470529871881,87375622888246360,21794572772239369,16306696482461560
-97,400,78065,484,38,6014017311081,6010589044544,1313903832425,66822832760
-97,400,78855705,1344892,999,780564938636045965056301701249,779297054673311472994724152360,211846693725917814575333200001,140703840741824401472415321160
-97,400,78855705,1344892,38,6014017311081,6010589044544,1313903832425,66822832760
-97,400,61583704,-7959505,38,6014017311081,6010589044544,1313903832425,66822832760
-97,400,61583704,-7959505,56,87486470529871881,87375622888246360,21794572772239369,16306696482461560
400,873,1485601,69300,45,37352008459537,33589758068912,28586973438225,8676989249400
400,873,1485601,69300,55,67593933012233713,62461941274343088,48747106060823025,9096231046728200
400,873,1565217,307700,55,67593933012233713,62461941274343088,48747106060823025,9096231046728200
400,873,1565217,307700,45,37352008459537,33589758068912,28586973438225,8676989249400
-1425,412,5728,215,23,15434547801,15355831360,5821981400,140976551
-1425,412,5728,215,2,2813001,2767624,1390400,673865
-1425,412,105512,1038385,2,2813001,2767624,1390400,673865
-1425,412,105512,1038385,999,12629217765947417896034599809,12228221407419874341992355560,7328739297665501682037024184,3739210609433203972994481025
-1425,412,134815113,29587760,999,12629217765947417896034599809,12228221407419874341992355560,7328739297665501682037024184,3739210609433203972994481025
-1425,412,134815113,29587760,2,2813001,2767624,1390400,673865
12185,432,22529,2988,6,16430513,16281009,7028600,3642840
12185,432,22529,2988,69,202540855134365138633,201236910265023650505,80940380256877627544,705558147137161920
12185,432,79416,247889,69,202540855134365138633,201236910265023650505,80940380256877627544,705558147137161920
12185,432,79416,247889,6,16430513,16281009,7028600,3642840
12185,432,282584,-755289,108,452835938257547709708389177,451622371501239854889723705,145561707582919191804801464,10453265194894185904695360
12185,432,282584,-755289,6,16430513,16281009,7028600,3642840
12185,432,-7683273,1866844,6,16430513,16281009,7028600,3642840
12185,432,-7683273,1866844,108,452835938257547709708389177,451622371501239854889723705,145561707582919191804801464,10453265194894185904695360
78065,484,61583704,-7959505,56,87486470529871881,87375622888246360,21794572772239369,16306696482461560
78065,484,61583704,-7959505,38,6014017311081,6010589044544,1313903832425,66822832760
78065,484,1462405152,7514863625,38,6014017311081,6010589044544,1313903832425,66822832760
78065,484,1462405152,7514863625,999,15812220228973978029640545092760827730729586761,15796268259750535399121357323071506402161885760,3712162287258766514894362261184279475656584265,2805937385907916698694532219596648902968866136
-361,540,7800,-5509,33,1059621884297,1041572957760,535914713672,187577183625
-361,540,7800,-5509,11,145087793,122055375,121952168,1841160
-361,540,-6393885,10250072,999,16013927795894026959663168953,13664102621078861306004840840,13258851160243699422011467335,552797283800610952652413328
-361,540,-6393885,10250072,11,145087793,122055375,121952168,1841160
-361,540,215657416,51845475,11,145087793,122055375,121952168,1841160
-361,540,215657416,51845475,999,16013927795894026959663168953,13664102621078861306004840840,13258851160243699422011467335,552797283800610952652413328
-1005,568,-7516797,66665212,5,16003017,14173720,12552200,4479031
-1005,568,-7516797,66665212,999,8653092317071774719310202489073,8099532884728944729940462847464,6001671979737012735726619523855,1516716120293429599551302835760
-1005,568,163242376,37855247,999,8653092317071774719310202489073,8099532884728944729940462847464,6001671979737012735726619523855,1516716120293429599551302835760
-1005,568,163242376,37855247,5,16003017,14173720,12552200,4479031
-1005,568,-127476361,1130360308,999,98270478960597960792388529356965177,87037690338321399032971900099452520,77079336966097291050172542281293400,27502028501663383927237093259952839
-1005,568,-127476361,1130360308,12,156646737,146627384,108644015,27450160
-1005,568,3209926584,744350011,12,156646737,146627384,108644015,27450160
-1005,568,3209926584,744350011,999,98270478960597960792388529356965177,87037690338321399032971900099452520,77079336966097291050172542281293400,27502028501663383927237093259952839
83,576,2235384,-965789,50,4989795146367937,4054077093163680,3991634925049800,3129524286980159
83,576,2235384,-965789,62,2403830299338229417,2131324451761725144,1792486419420151465,1248766649433953640
83,576,92800385,25962516,62,2403830299338229417,2131324451761725144,1792486419420151465,1248766649433953640
83,576,92800385,25962516,50,4989795146367937,4054077093163680,3991634925049800,3129524286980159
-865,592,-14177,20156,19,1871713857,1593513080,1553556440,92622401
-865,592,-14177,20156,61,1592672455342770513,1559028675188874616,851144034922098880,208032601069058735
-865,592,230472,-438737,19,1871713857,1593513080,1553556440,92622401
-865,592,230472,-438737,89,587020625514136613276553,582653975191641098286104,222787467202130880567415,179164925544119666072000
-865,592,5846168,682447,61,1592672455342770513,1559028675188874616,851144034922098880,208032601069058735
-865,592,5846168,682447,19,1871713857,1593513080,1553556440,92622401
-865,592,60906561,9414892,89,587020625514136613276553,582653975191641098286104,222787467202130880567415,179164925544119666072000
-865,592,60906561,9414892,19,1871713857,1593513080,1553556440,92622401
-817,660,-1581,1520,64,10816708329115215113,9585769407872803575,8510180374729994520,985735303963754488
-817,660,-1581,1520,8,44310257,41084175,31669120,2164632
-817,660,21792,5035,8,44310257,41084175,31669120,2164632
-817,660,21792,5035,72,1671674986261410994097,1534990269771364822095,1199828498161126807800,655960628418767673472
-817,660,8583400,714723,8,44310257,41084175,31669120,2164632
-817,660,8583400,714723,64,10816708329115215113,9585769407872803575,8510180374729994520,985735303963754488
-817,660,-3622925,12225132,72,1671674986261410994097,1534990269771364822095,1199828498161126807800,655960628418767673472
